"year","ai_atka","sst_mean","sst_sd","indicator_name"
2010,"tanaga",4.49005529953917,0.681862572757314,"Atka_amj_sst"
2011,"attu",4.08190908148455,1.04074272246589,"Atka_amj_sst"
2011,"seguam",4.3552580028667,0.792717671820829,"Atka_amj_sst"
2011,"tanaga",4.51100957107409,0.621713436150002,"Atka_amj_sst"
2012,"attu",3.74462782500518,0.994789140484242,"Atka_amj_sst"
2012,"seguam",3.70137243191591,0.914559083328405,"Atka_amj_sst"
2012,"tanaga",3.82010847217299,0.720294976741749,"Atka_amj_sst"
2013,"attu",4.33371190130624,1.46529536015657,"Atka_amj_sst"
2013,"seguam",4.26773530817009,0.891688728005999,"Atka_amj_sst"
2013,"tanaga",4.40353633463311,0.937898223520074,"Atka_amj_sst"
2014,"attu",4.35629017209206,1.35055807408749,"Atka_amj_sst"
