"year","ai_atka","sst_mean","sst_sd","indicator_name"
2009,"attu",8.00779874213836,1.31825090014367,"Atka_fall_sst"
2009,"seguam",6.63081112669472,0.795316563447285,"Atka_fall_sst"
2009,"tanaga",6.63520360735345,0.901648905667845,"Atka_fall_sst"
2010,"attu",8.31423716778251,1.46205255313237,"Atka_fall_sst"
2010,"seguam",7.62250350631136,1.56881999064591,"Atka_fall_sst"
2010,"tanaga",6.98782032604925,1.31692587643503,"Atka_fall_sst"
2011,"attu",8.8512472103875,1.64107960776771,"Atka_fall_sst"
2011,"seguam",7.73667601683029,1.37213035190558,"Atka_fall_sst"
2011,"tanaga",7.45731113423517,1.04317454847447,"Atka_fall_sst"
2012,"attu",8.44805690809495,1.26501807132489,"Atka_fall_sst"
2012,"seguam",7.11122136512389,1.32789144109665,"Atka_fall_sst"
2012,"tanaga",6.92533263961152,1.00417360561814,"Atka_fall_sst"
2013,"attu",9.09153479407588,1.82113654035379,"Atka_fall_sst"
2013,"seguam",7.43515778401122,1.49334930388838,"Atka_fall_sst"
2013,"tanaga",7.46209712105446,1.24845367110417,"Atka_fall_sst"
2014,"attu",9.26567965104484,1.67612320636804,"Atka_fall_sst"
2014,"seguam",8.23648083216456,1.53287734535919,"Atka_fall_sst"
2014,"tanaga",7.70882899757197,1.09747445335423,"Atka_fall_sst"
2015,"attu",9.28285960641104,1.27551155915159,"Atka_fall_sst"
2015,"seguam",8.21810074801309,1.17897355217232,"Atka_fall_sst"
2015,"tanaga",7.92243149497052,1.04557789749607,"Atka_fall_sst"
2016,"attu",9.12315378372895,1.60949277712922,"Atka_fall_sst"
2016,"seguam",7.94534361851332,1.05784224487918,"Atka_fall_sst"
2016,"tanaga",7.65062365591398,1.02096551882494,"Atka_fall_sst"
2017,"attu",8.88288395212011,1.70583594694331,"Atka_fall_sst"
2017,"seguam",7.69244623655914,1.15640264770031,"Atka_fall_sst"
2017,"tanaga",7.33298994103365,0.838639519389254,"Atka_fall_sst"
2018,"attu",8.8253474335565,1.27160104887336,"Atka_fall_sst"
2018,"seguam",7.57434782608696,1.16408035360606,"Atka_fall_sst"
2018,"tanaga",7.21624210891432,0.789173917532261,"Atka_fall_sst"
2019,"attu",8.48265216068168,1.16619177119309,"Atka_fall_sst"
2019,"seguam",7.90611033193081,1.15973625812505,"Atka_fall_sst"
2019,"tanaga",7.65073742629206,1.26066949351746,"Atka_fall_sst"
2020,"attu",7.99057466017448,1.08255756639543,"Atka_fall_sst"
2020,"seguam",7.55343384759233,0.949673844381453,"Atka_fall_sst"
2020,"tanaga",6.72514117238987,0.56309690514267,"Atka_fall_sst"
2021,"attu",8.79908805031446,1.76044095073272,"Atka_fall_sst"
2021,"seguam",7.81816619915848,1.98314232488047,"Atka_fall_sst"
2021,"tanaga",6.5368144294138,0.914632219242006,"Atka_fall_sst"
2022,"attu",8.61609606411037,1.57777515716476,"Atka_fall_sst"
2022,"seguam",7.09553529686769,1.10312686910631,"Atka_fall_sst"
2022,"tanaga",6.84136177592785,0.699186705099134,"Atka_fall_sst"
2023,"attu",9.66412811929397,1.16939321123995,"Atka_fall_sst"
2023,"seguam",7.39752921926134,1.2065583673522,"Atka_fall_sst"
2023,"tanaga",7.2973437391606,0.764655034297955,"Atka_fall_sst"
2024,"attu",8.3701060052749,0.996976877955926,"Atka_fall_sst"
2024,"seguam",6.6206533426835,0.974301089115592,"Atka_fall_sst"
2024,"tanaga",6.63065487339577,0.583253948505285,"Atka_fall_sst"
